,lad19cd,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26
307,E09000024,3.6529968,3.659318,3.6797352,3.713839,3.7613804,3.8222456,3.896452,3.9841304,4.0855207,4.2009654,4.3309054,4.475876,4.636498,4.813488,5.007645,5.219857,5.4510946,5.7024107,5.9749446,6.269911,6.588608,6.932402,7.3027406,7.701128,8.129132,8.588376,9.080521,9.607259,10.1703,10.771357,11.412117,12.094234,12.819289,13.588766,14.404022,15.266256,16.17645,17.135355,18.143408,19.200718,20.306986,21.461477,22.662935,23.909548,25.198887,26.527847,27.892612,29.288593,30.710394,32.151814,33.60577,35.06435,36.518818,37.959614,39.3764,40.758194,42.093395,43.36991,44.5753,45.698215,46.732517,47.673992,48.519257,49.265686,49.911488,50.455605,50.897755,51.238377,51.4786,51.620216,51.665558,51.61759,51.47972,51.2558,50.950104,50.567226,50.112045,49.589684,49.005463,48.36481,47.673286,46.936485,46.16004,45.349575,44.51064,43.648735,42.769268,41.877533,40.978687,40.077755,39.179596,38.288925,37.410294,36.54812,35.706646,34.89,34.102192,33.347145,32.628696,31.950666,31.316895,30.73126,30.197788,29.720684,29.304438,28.953932,28.67455,28.472347,28.35422,28.328144,28.403437,28.591137,28.904423,29.359135,29.974556,30.774254,31.78731
308,E09000025,11.7834,11.981257,12.206417,12.459086,12.739622,13.048497,13.386311,13.753774,14.151697,14.5809965,15.04269,15.5378895,16.067776,16.633629,17.236807,17.878738,18.56091,19.284887,20.052288,20.86476,21.724014,22.631775,23.589802,24.599838,25.663635,26.782925,27.95939,29.194653,30.490269,31.847675,33.26819,34.752964,36.30299,37.919006,39.601524,41.35076,43.166615,45.04861,46.99588,49.007095,51.08046,53.21364,55.403706,57.647182,59.939896,62.277,64.65298,67.06151,69.49559,71.94741,74.40841,76.86927,79.31989,81.74953,84.14668,86.499275,88.794685,91.01977,93.16106,95.20605,97.14739,98.979515,100.697334,102.29631,103.7725,105.1225,106.34342,107.43304,108.38961,109.212,109.89961,110.452415,110.87087,111.156075,111.30958,111.3335,111.23044,111.00354,110.6564,110.19314,109.618324,108.93699,108.154625,107.277176,106.31093,105.2626,104.13933,102.94856,101.6981,100.39605,99.05082,97.6711,96.26585,94.84424,93.41566,91.98976,90.57638,89.18559,87.8277,86.51326,85.253136,84.058525,82.9411,81.91301,80.98711,80.17701,79.49741,78.96424,78.59504,78.40931,78.42902,78.67925,79.18887,79.991516,81.126755,82.64162,84.59249
309,E09000026,10.814284,11.268269,11.747387,12.252295,12.783678,13.342231,13.928675,14.543728,15.188125,15.862613,16.56794,17.30487,18.074154,18.87656,19.712849,20.583773,21.490093,22.432547,23.41188,24.428802,25.484024,26.578232,27.712078,28.886196,30.101181,31.357574,32.6559,33.9966,35.380074,36.80665,38.27657,39.78999,41.34701,42.947563,44.591503,46.278576,48.008347,49.780266,51.59362,53.447506,55.34085,57.27239,59.24065,61.24395,63.28037,65.347755,67.44373,69.565636,71.710594,73.87547,76.05683,78.25103,80.45417,82.66209,84.87041,87.07452,89.269615,91.450745,93.612724,95.750305,97.85807,99.9304,101.96165,103.945984,105.87758,107.750374,109.55839,111.29554,112.9557,114.532814,116.02081,117.413734,118.705734,119.89115,120.9645,121.920586,122.75455,123.461914,124.038635,124.48118,124.78659,124.952515,124.97731,124.860085,124.60074,124.19996,123.6594,122.98159,122.16995,121.22893,120.16387,118.98107,117.68779,116.29215,114.80318,113.230675,111.585236,109.87817,108.1214,106.32748,104.50944,102.68078,100.8554,99.047554,97.27185,95.543175,93.87675,92.28821,90.79355,89.40935,88.15287,87.04229,86.09694,85.33769,84.78738,84.47136,84.41827
310,E09000027,3.2650607,3.405166,3.559482,3.7287621,3.9138386,4.1156197,4.335094,4.5733204,4.8314357,5.1106486,5.412237,5.737552,6.0880046,6.4650707,6.8702803,7.305211,7.771488,8.270759,8.804701,9.3749895,9.983298,10.631272,11.320505,12.052524,12.828757,13.65051,14.518925,15.434959,16.399332,17.4125,18.474598,19.585405,20.744303,21.950207,23.201529,24.496147,25.831335,27.203726,28.609268,30.043198,31.50002,32.973457,34.456482,35.941277,37.419292,38.881237,40.31716,41.716496,43.06814,44.360577,45.581997,46.720413,47.763832,48.70045,49.5188,50.20797,50.757805,51.15913,51.40391,51.487095,51.4116,51.18341,50.809837,50.29931,49.66118,48.90551,48.042927,47.084362,46.040974,44.92389,43.744144,42.512512,41.23939,39.934727,38.60795,37.2679,35.922768,34.580124,33.246845,31.92914,30.632547,29.361965,28.121666,26.91532,25.74603,24.616388,23.528498,22.484003,21.48417,20.5299,19.621773,18.7601,17.94497,17.176268,16.453732,15.776984,15.145586,14.559036,14.016846,13.518552,13.063768,12.65222,12.28378,11.958526,11.676784,11.439195,11.246775,11.101011,11.003956,10.958351,10.967791,11.036922,11.171696,11.3796835,11.670538,12.056519,12.553277
311,E09000028,7.3482647,7.4981236,7.6681232,7.858471,8.069484,8.30157,8.555234,8.831066,9.129726,9.451953,9.79855,10.170383,10.56837,10.9934845,11.446744,11.929195,12.44193,12.986049,13.562678,14.17294,14.817953,15.498817,16.216602,16.972324,17.766943,18.601334,19.47627,20.3924,21.350227,22.35009,23.392122,24.476238,25.6021,26.769077,27.976229,29.22228,30.505562,31.824007,33.175106,34.55588,35.962864,37.392086,38.83902,40.298595,41.765213,43.232674,44.694275,46.14274,47.5703,48.968723,50.32931,51.64304,52.900543,54.092262,55.208492,56.239517,57.175694,58.007614,58.72619,59.32411,59.7999,60.15427,60.388737,60.50564,60.508,60.399544,60.184544,59.867767,59.454456,58.95018,58.360817,57.692463,56.95139,56.143932,55.27654,54.355606,53.3875,52.37851,51.334805,50.262398,49.167137,48.054657,46.930412,45.799614,44.667248,43.53805,42.416546,41.307007,40.21346,39.13973,38.089405,37.065884,36.07237,35.111908,34.187374,33.301525,32.45703,31.656485,30.902452,30.1975,29.54427,28.94549,28.404081,27.923187,27.506306,27.15735,26.880775,26.681759,26.566328,26.5416,26.616037,26.799807,27.105125,27.546837,28.143066,28.916016,29.893116
312,E09000029,2.643538,2.6826985,2.7318273,2.790951,2.8601902,2.9397473,3.0299056,3.1310241,3.243533,3.3679366,3.5048082,3.6547914,3.8185966,3.9970043,4.1908646,4.401096,4.628684,4.874682,5.1402135,5.426464,5.734685,6.0661864,6.4223404,6.804565,7.214326,7.653128,8.122505,8.624006,9.159184,9.72958,10.336701,10.982009,11.666882,12.392597,13.160301,13.970973,14.825391,15.724083,16.667309,17.65499,18.686674,19.761496,20.87811,22.034662,23.228735,24.457293,25.716665,27.002491,28.3097,29.63249,30.964325,32.297928,33.625305,34.937786,36.226036,37.480194,38.689884,39.844368,40.932655,41.944576,42.873955,43.716118,44.467106,45.123623,45.683113,46.143715,46.504307,46.764446,46.9244,46.985085,46.94805,46.81544,46.58997,46.274845,45.873783,45.390892,44.830658,44.197903,43.497726,42.73545,41.916576,41.04673,40.131626,39.17702,38.188667,37.17227,36.13345,35.07772,34.010445,32.936783,31.861734,30.790035,29.726206,28.674484,27.638847,26.622992,25.630342,24.664026,23.726904,22.821562,21.950335,21.115305,20.31834,19.561108,18.845102,18.171679,17.542082,16.957502,16.4191,15.928077,15.485721,15.093484,14.7530575,14.466454,14.236132,14.065111,13.957142
313,E09000030,9.782422,9.957831,10.159461,10.387552,10.642503,10.924849,11.23527,11.574564,11.943652,12.343578,12.775495,13.240668,13.740462,14.276352,14.849905,15.462788,16.116762,16.813662,17.555418,18.34403,19.181559,20.070135,21.011936,22.009165,23.064062,24.178873,25.355835,26.59715,27.904978,29.2814,30.728394,32.24781,33.841324,35.510414,37.256306,39.079964,40.982,42.962658,45.021755,47.158634,49.37209,51.66035,54.02098,56.450882,58.946167,61.502182,64.11343,66.77349,69.47509,72.20994,74.96881,77.74154,80.51696,83.28294,86.026505,88.733765,91.390076,93.98007,96.487785,98.89775,101.19785,103.37717,105.42509,107.33135,109.08625,110.680534,112.10566,113.3537,114.41753,115.290825,115.96818,116.44514,116.71825,116.78514,116.64452,116.29635,115.74164,114.98271,114.02304,112.86734,111.521576,109.9928,108.28926,106.4203,104.39624,102.22837,99.92881,97.51043,94.98674,92.371735,89.6798,86.92553,84.12367,81.28891,78.43575,75.578415,72.73069,69.90586,67.116516,64.374565,61.69114,59.07647,56.539955,54.09006,51.734383,49.479614,47.33162,45.29549,43.375614,41.57576,39.89919,38.348824,36.92736,35.637413,34.48176,33.463505,32.586388
314,E09000031,6.0055957,6.2093616,6.4294205,6.6663547,6.92081,7.193479,7.4851108,7.796503,8.128499,8.481999,8.857943,9.25732,9.681156,10.1305275,10.606543,11.110352,11.643133,12.206096,12.800481,13.427541,14.088544,14.784774,15.517511,16.288027,17.097574,17.947388,18.83866,19.772535,20.750078,21.772297,22.84009,23.954245,25.115412,26.324097,27.580616,28.885118,30.237497,31.637419,33.084286,34.577187,36.1149,37.695866,39.318127,40.97936,42.67681,44.407284,46.167133,47.952232,49.757988,51.579308,53.4106,55.245792,57.07835,58.901245,60.707012,62.48782,64.23541,65.94126,67.59652,69.1928,70.724106,72.18521,73.571175,74.8773,76.0992,77.232765,78.27423,79.220184,80.067566,80.81369,81.456276,81.993454,82.42376,82.74618,82.96013,83.0655,83.06262,82.95235,82.73588,82.41505,81.99206,81.46962,80.85089,80.13952,79.339554,78.455475,77.492226,76.45505,75.34961,74.181885,72.958115,71.68485,70.36885,69.017044,67.63653,66.23452,64.81831,63.395214,61.97256,60.557663,59.157776,57.7801,56.431755,55.119793,53.85118,52.63282,51.471603,50.37443,49.34827,48.400253,47.537735,46.768486,46.10078,45.54361,45.106934,44.801945,44.641434
315,E09000032,8.724259,8.769876,8.84488,8.948674,9.080939,9.241587,9.430755,9.648785,9.8961935,10.173684,10.4821205,10.82252,11.19604,11.603988,12.047795,12.529019,13.0493355,13.610523,14.214467,14.863128,15.558553,16.302841,17.098145,17.946625,18.850466,19.811811,20.83276,21.91532,23.06139,24.272692,25.550743,26.896816,28.311855,29.79645,31.350737,32.97438,34.666473,36.425457,38.24909,40.134323,42.07729,44.07319,46.11624,48.199642,50.315495,52.454807,54.60745,56.76213,58.906483,61.027023,63.109264,65.13777,67.09633,68.96802,70.73543,72.38087,73.886566,75.23495,76.408875,77.39401,78.18517,78.78081,79.180984,79.38735,79.40299,79.2324,78.8813,78.356575,77.66614,76.81876,75.82399,74.69197,73.43336,72.05915,70.58061,69.00911,67.35607,65.632805,63.850483,62.019993,60.151962,58.256596,56.34367,54.422493,52.501842,50.589947,48.6945,46.822598,44.98074,43.174862,41.410313,39.691864,38.023758,36.40969,34.85285,33.35597,31.921326,30.550785,29.245855,28.007715,26.837269,25.735174,24.70191,23.737833,22.84321,22.018312,21.26344,20.579044,19.96576,19.424522,18.956663,18.564037,18.249163,18.01537,17.867044,17.809868,17.851135
316,E09000033,6.1757474,6.1562247,6.160932,6.1889663,6.239704,6.3127613,6.407982,6.5254054,6.6652603,6.8279476,7.0140314,7.2242336,7.4594173,7.7205963,8.008916,8.325658,8.672232,9.05017,9.461127,9.906867,10.389261,10.9102745,11.471963,12.076453,12.725924,13.4226,14.16872,14.966516,15.8181715,16.725807,17.691425,18.716875,19.803797,20.953566,22.167236,23.445494,24.788546,26.196081,27.667185,29.20025,30.792904,32.441944,34.143227,35.891613,37.680927,39.503853,41.351933,43.215508,45.083748,46.94463,48.784992,50.59063,52.34633,54.036068,55.643124,57.150326,58.540237,59.795425,60.898792,61.83574,62.600418,63.190536,63.60542,63.845974,63.91464,63.815258,63.552956,63.134094,62.566017,61.857018,61.016125,60.053013,58.977818,57.801018,56.533314,55.185486,53.76828,52.29234,50.768055,49.20552,47.61445,46.00412,44.3833,42.760258,41.142662,39.53762,37.951645,36.39065,34.859947,33.364258,31.907743,30.494009,29.126131,27.806694,26.537794,25.321121,24.157963,23.049217,21.995495,20.9971,20.05411,19.166376,18.33361,17.555378,16.83118,16.160463,15.542687,14.977355,14.464058,14.002531,13.592714,13.234796,12.9293,12.677145,12.479765,12.339195,12.258233
