,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26
0,4.244364,4.4848857,4.7431445,5.020097,5.316745,5.6341267,5.973323,6.335448,6.7216454,7.133093,7.5709906,8.036561,8.531036,9.055662,9.611688,10.200351,10.822885,11.480488,12.174334,12.905543,13.675184,14.484252,15.333658,16.224205,17.156574,18.131315,19.148823,20.209312,21.31279,22.459063,23.647676,24.877922,26.148804,27.459,28.806871,30.190426,31.607288,33.054684,34.52945,36.027973,37.54621,39.079693,40.623474,42.172203,43.72006,45.260803,46.787815,48.294056,49.772163,51.21449,52.6131,53.959858,55.246536,56.4648,57.606342,58.662983,59.626675,60.4897,61.244686,61.885326,62.408062,62.81059,63.09133,63.24942,63.284718,63.197777,62.98983,62.66277,62.219173,61.66217,60.9955,60.22344,59.35077,58.382725,57.325,56.183605,54.964912,53.675594,52.32251,50.912724,49.453426,47.95189,46.415394,44.851223,43.266567,41.668484,40.063892,38.45947,36.861637,35.276527,33.709934,32.167294,30.653652,29.173637,27.73145,26.33085,24.975159,23.667238,22.409513,21.203974,20.052197,18.955357,17.914257,16.929361,16.000816,15.128493,14.312035,13.550879,12.844317,12.191538,11.591674,11.043858,10.547275,10.101219,9.705171,9.358859,9.062351
1,6.803699,7.0324,7.285795,7.5649877,7.871214,8.2058525,8.570413,8.966538,9.396003,9.860714,10.362701,10.904132,11.487277,12.114539,12.788423,13.511535,14.286573,15.116317,16.0036,16.9513,17.962318,19.039557,20.185862,21.404024,22.696716,24.066463,25.515583,27.046131,28.659838,30.358072,32.141716,34.011158,35.96615,38.00577,40.12832,42.331253,44.611065,46.96324,49.382156,51.86101,54.391758,56.965088,59.57034,62.195488,64.82721,67.45078,70.05025,72.60842,75.10702,77.52677,79.84764,82.048935,84.10969,86.00876,87.72522,89.23868,90.52956,91.57949,92.371666,92.89345,93.14358,93.125496,92.84497,92.31,91.5305,90.51819,89.28628,87.84932,86.22288,84.42338,82.4678,80.373535,78.15811,75.83901,73.43352,70.95855,68.430466,65.86502,63.27715,60.681026,58.08985,55.51588,52.970367,50.46353,48.004547,45.601562,43.26174,40.991207,38.795162,36.677868,34.642735,32.692352,30.828552,29.05247,27.36459,25.764835,24.252623,22.8269,21.48624,20.228893,19.052837,17.955833,16.935505,15.989355,15.114843,14.309425,13.570597,12.895952,12.283209,11.73027,11.235262,10.796592,10.412995,10.083593,9.807977,9.5862665,9.419237
2,3.6453633,3.758982,3.888517,4.0346746,4.198295,4.380346,4.5819263,4.804269,5.048736,5.3168354,5.61021,5.9306526,6.280097,6.660632,7.0744963,7.524086,8.011946,8.540775,9.113426,9.732887,10.402291,11.124886,11.904036,12.743189,13.645861,14.615609,15.655995,16.770527,17.962645,19.235634,20.592587,22.036312,23.569277,25.193502,26.910471,28.721062,30.625387,32.62272,34.71138,36.888573,39.150333,41.491413,43.905083,46.383152,48.91584,51.491695,54.097576,56.718643,59.338375,61.938625,64.49971,67.00056,69.41891,71.73149,73.914375,75.943275,77.79386,79.44225,80.86539,82.04367,82.96793,83.63371,84.03908,84.184715,84.073685,83.71144,83.10559,82.2657,81.20324,79.93118,78.46388,76.81684,75.00639,73.04958,70.96384,68.7668,66.476105,64.10918,61.683083,59.214325,56.718777,54.21145,51.706505,49.2171,46.755344,44.33225,41.957733,39.640564,37.388397,35.207775,33.104156,31.081982,29.144693,27.294804,25.533968,23.863035,22.282146,20.790773,19.387821,18.07169,16.84035,15.691411,14.622203,13.629814,12.711182,11.863132,11.082431,10.365856,9.71021,9.112389,8.569402,8.078425,7.636825,7.24219,6.8923736,6.5855217,6.320122
3,4.8177366,5.1316752,5.475155,5.85054,6.260387,6.7074428,7.194669,7.7252307,8.302507,8.930106,9.611849,10.351789,11.154195,12.023556,12.964569,13.982135,15.081334,16.267408,17.54574,18.92182,20.401196,21.98944,23.69211,25.514635,27.462309,29.540165,31.752913,34.10481,36.599583,39.240295,42.02922,44.96771,48.05604,51.29329,54.67715,58.20384,61.867855,65.66194,69.576866,73.60133,77.72185,81.92274,86.18592,90.49101,94.815315,99.13385,103.41943,107.64289,111.773186,115.77776,119.62277,123.2735,126.69475,129.85135,132.70866,135.23312,137.39279,139.15802,140.50186,141.40456,141.86443,141.88776,141.48499,140.67023,139.46103,137.87799,135.94417,133.6848,131.12677,128.29816,125.22793,121.9454,118.479935,114.86063,111.11591,107.27335,103.35941,99.39924,95.416504,91.4333,87.47002,83.5453,79.676025,75.87731,72.16246,68.543106,65.02919,61.62907,58.349567,55.196106,52.172764,49.28242,46.526836,43.906754,41.422024,39.071712,36.854195,34.767277,32.808258,30.97405,29.261278,27.66633,26.18547,24.814896,23.550821,22.389542,21.327505,20.36138,19.488121,18.705038,18.009878,17.400906,16.876986,16.437696,16.08347,15.815721,15.637072
4,1.1964077,1.3465166,1.5134032,1.6985295,1.9034227,2.1296666,2.3789,2.6528013,2.9530823,3.2814765,3.6397266,4.0295696,4.4527197,4.9108543,5.405598,5.9384985,6.5110126,7.1244826,7.780119,8.478977,9.221938,10.009687,10.8427,11.7212105,12.645207,13.614405,14.628239,15.6858425,16.786032,17.927317,19.107868,20.325525,21.577791,22.861826,24.174463,25.512215,26.871256,28.247473,29.636446,31.033491,32.433666,33.831833,35.2226,36.60046,37.959747,39.29471,40.599518,41.868362,43.095432,44.274986,45.401405,46.46925,47.473263,48.408455,49.270134,50.05395,50.755943,51.372585,51.900795,52.33815,52.68338,52.935894,53.09561,53.162983,53.138905,53.02476,52.82237,52.53393,52.16205,51.709667,51.180046,50.576767,49.90363,49.164696,48.364216,47.50661,46.596455,45.63844,44.637337,43.59798,42.52525,41.42402,40.299152,39.155468,37.997723,36.83058,35.658607,34.48622,33.317703,32.157158,31.008503,29.875471,28.761581,27.670122,26.604166,25.56655,24.55989,23.58655,22.648693,21.748259,20.886978,20.0664,19.287907,18.552742,17.86203,17.21682,16.618114,16.06693,15.564331,15.111509,14.709834,14.360954,14.066898,13.830175,13.653944,13.542186,13.499936
5,2.7056496,3.2196329,3.8099473,4.483568,5.247326,6.1077375,7.070858,8.142089,9.326016,10.626233,12.045174,13.58397,15.242308,17.01833,18.908556,20.907835,23.00934,25.204588,27.48351,29.834553,32.244823,34.70023,37.18572,39.68545,42.183075,44.661945,47.105385,49.496944,51.82063,54.061127,56.204044,58.236076,60.145157,61.920605,63.553257,65.03552,66.361374,67.52647,68.52806,69.36496,70.03752,70.547516,70.89804,71.09344,71.13913,71.04152,70.807846,70.44603,69.964584,69.37246,68.67889,67.89334,67.02538,66.08453,65.08024,64.02176,62.918156,61.778137,60.6101,59.42113,58.214283,56.99168,55.755417,54.507545,53.25012,51.985134,50.714542,49.440258,48.164097,46.887867,45.613308,44.342068,43.075783,41.816006,40.564255,39.321983,38.090607,36.87149,35.665955,34.47528,33.300713,32.143448,31.004644,29.88544,28.78691,27.7101,26.65602,25.625624,24.619835,23.639523,22.685497,21.758526,20.859324,19.988537,19.146751,18.3345,17.552248,16.800396,16.079283,15.389181,14.730317,14.102848,13.506887,12.942514,12.409762,11.90865,11.439185,11.001382,10.595277,10.220958,9.878578,9.568401,9.290837,9.0464735,8.836149,8.661022,8.522666
6,11.003122,11.853895,12.768044,13.749,14.800228,15.925196,17.127357,18.410124,19.776829,21.230692,22.774801,24.412064,26.145147,27.976456,29.908087,31.941765,34.078808,36.320053,38.665833,41.115887,43.669346,46.324627,49.079456,51.930725,54.874508,57.906006,61.01949,64.20828,67.4647,70.780075,74.1447,77.547874,80.977875,84.42195,87.866425,91.29671,94.6973,98.05198,101.34377,104.55516,107.66811,110.664276,113.5251,116.23199,118.76651,121.110535,123.24646,125.1574,126.82732,128.24138,129.38602,130.24915,130.82048,131.09145,131.0556,130.70862,130.04843,129.07536,127.79214,126.20594,124.334076,122.197525,119.81834,117.219475,114.4244,111.456764,108.34021,105.098114,101.75325,98.32772,94.84276,91.31848,87.77396,84.22694,80.693924,77.19008,73.72916,70.3236,66.98445,63.721462,60.54308,57.45652,54.46781,51.581886,48.802605,46.132862,43.574684,41.12922,38.796917,36.577526,34.470203,32.47358,30.58584,28.804752,27.127766,25.552069,24.074638,22.692282,21.401701,20.19954,19.08243,18.04701,17.09,16.20821,15.398587,14.658252,13.984532,13.375005,12.827512,12.340239,11.911727,11.540957,11.227399,10.971092,10.772756,10.633901,10.557009
7,13.172547,13.629403,14.133297,14.68631,15.29075,15.949173,16.664352,17.439285,18.277185,19.181479,20.155788,21.203932,22.3299,23.537855,24.832102,26.21707,27.697271,29.27731,30.961803,32.755344,34.66249,36.68766,38.835106,41.108807,43.51242,46.049202,48.721886,51.53259,54.48268,57.57273,60.80232,64.16992,67.67279,71.30685,75.06646,78.94441,82.93174,87.01758,91.18911,95.43145,99.727615,104.058464,108.40261,112.73665,117.034966,121.270065,125.41261,129.4316,133.29477,136.96872,140.41939,143.61243,146.51366,149.08957,151.30783,153.13785,154.5514,155.52306,156.03094,156.06122,155.6213,154.72697,153.39769,151.6563,149.52846,147.0421,144.227,141.1143,137.73589,134.12418,130.31151,126.32994,122.21068,117.984085,113.67912,109.323364,104.942726,100.561325,96.20145,91.88345,87.62575,83.44476,79.35503,75.36917,71.49802,67.75064,64.13449,60.655464,57.31799,54.125214,51.079033,48.1803,45.428844,42.823666,40.362984,38.0444,35.86497,33.82131,31.909672,30.126081,28.466372,26.926294,25.501564,24.187963,22.98139,21.877934,20.87393,19.966047,19.151327,18.427284,17.79197,17.244078,16.783052,16.409208,16.123903,15.929727,15.830766
8,2.4339163,2.6532068,2.894618,3.1601732,3.4520516,3.7725875,4.124279,4.5097866,4.9319367,5.3937225,5.8982973,6.448974,7.0492096,7.7026014,8.4128685,9.183833,10.019395,10.923505,11.900133,12.953222,14.086645,15.304156,16.609335,18.0055,19.495667,21.082453,22.768,24.553875,26.440985,28.429478,30.51865,32.70682,34.991276,37.368114,39.832195,42.377056,44.994827,47.67615,50.41019,53.18457,55.98535,58.79715,61.603058,64.384865,67.12307,69.7971,72.38542,74.86594,77.21597,79.4128,81.43384,83.25702,84.861115,86.22619,87.333855,88.16774,88.71373,88.96047,88.89946,88.528015,87.85691,86.90234,85.682884,84.21903,82.53281,80.64721,78.585945,76.37287,74.03176,71.58591,69.05785,66.4692,63.840332,61.19032,58.536793,55.895855,53.282032,50.708286,48.185997,45.725018,43.333733,41.019115,38.786842,36.641327,34.585873,32.622738,30.753288,28.978035,27.296782,25.70869,24.212412,22.806135,21.487698,20.25464,19.104292,18.033838,17.040367,16.120937,15.272625,14.492565,13.778005,13.126331,12.535132,12.002208,11.525635,11.1038,10.735452,10.419748,10.156331,9.9454,9.78781,9.685205,9.640174,9.656448,9.739197,9.895373,10.134224
9,2.7597935,2.800704,2.8569837,2.9288878,3.0168924,3.1216815,3.2441547,3.3854246,3.546825,3.7299247,3.9365382,4.168746,4.4289045,4.7196836,5.0440784,5.4054427,5.8075175,6.2544646,6.750902,7.3019314,7.9131875,8.590869,9.341778,10.173354,11.093719,12.111697,13.23685,14.4795,15.850728,17.362396,19.027119,20.858234,22.869766,25.076319,27.493015,30.135344,33.01897,36.159542,39.572453,43.27247,47.273445,51.58793,56.226624,61.197945,66.50746,72.1573,78.145485,84.46539,91.10502,98.04636,105.264915,112.72909,120.399765,128.23006,136.16507,144.14209,152.0906,159.93314,167.58563,174.96304,181.99477,188.61545,194.76195,200.37427,205.39667,209.77847,213.47482,216.4476,218.66592,220.10672,220.75513,220.60484,219.65805,217.92555,215.42653,212.18816,208.2453,203.63983,198.4198,192.63887,186.35532,179.631,172.53058,165.12025,157.46693,149.6372,141.69632,133.7074,125.7306,117.82237,110.03489,102.41552,95.00648,87.84455,80.96092,74.381226,68.1256,62.208786,56.640495,51.425663,46.56491,42.054928,37.888985,34.057354,30.547853,27.3463,24.436968,21.803015,19.426882,17.290651,15.376358,13.6662655,12.143099,10.790204,9.591727,8.5327015,7.599126
